time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	3.35965e-322	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.734613	0.628749	7.22131	-6.63753e-17	-4.60839e-17	radar	80.9491	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16052	0.494895	7.22447	-0.127058	-0.0118493	lidar	2.17981	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25769	0.533205	7.20901	0.121784	0.0304598	radar	10.6083	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61613	0.595301	7.22304	0.160961	0.0462955	lidar	74.6819	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85123	0.562652	5.98089	0.0283009	-0.221797	radar	77.8155	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16197	0.59243	5.98114	0.0428194	-0.167548	lidar	159.428	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37751	0.639339	5.54692	0.0642697	-0.282969	radar	175.973	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65276	0.657667	5.54612	0.053941	-0.268647	lidar	251.92	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91925	0.651923	5.47998	0.00939045	-0.406746	radar	251.709	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15328	0.649175	5.43393	-0.00336884	-0.380495	lidar	333.508	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43988	0.544882	5.47901	-0.15425	-0.808564	radar	286.607	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.7435	0.431619	5.56054	-0.278009	-1.05265	lidar	551.636	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02321	0.516854	5.5327	-0.137966	-0.520416	radar	325.277	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29663	0.509863	5.50949	-0.130307	-0.438008	lidar	691.824	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55473	0.551364	5.38269	-0.0827829	-0.283311	radar	394.315	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73727	0.66414	5.17464	0.0245555	-0.024812	lidar	726.336	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98833	0.663291	5.082	0.0165568	-0.0380881	radar	443.038	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28755	0.656279	5.15654	0.00400938	-0.0587483	lidar	1146.84	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54772	0.661963	5.25003	0.00684652	-0.0469475	radar	483.085	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84315	0.675695	5.30082	0.0119101	-0.034723	lidar	1370.28	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08409	0.602265	5.17386	-0.0430401	-0.124119	radar	510.568	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33682	0.715527	5.14927	0.0335279	0.00773182	lidar	1534.66	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58663	0.747433	5.10429	0.048657	0.0302054	radar	627.992	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.8322	0.745022	5.09134	0.0412442	0.0169242	lidar	1739.85	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07324	0.728489	4.95617	0.0251137	-0.00949473	radar	691.631	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
